loc,type,provider,estimate,RIN
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T2,6.0,5.0,
1,B1,4.0,5.0,
1,T1,4.0,5.0,
2,T2,4.0,5.0,
2,T2,4.0,5.0,
2,T2,5.0,5.0,
2,T1,7.0,5.0,
2,T2,7.0,5.0,
2,T3,7.0,5.0,
2,T1,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
4,C2,4.0,5.0,
5,T3,4.0,5.0,
5,T1,4.0,5.0,
5,T2,4.0,5.0,
5,T2,4.0,5.0,
6,B1,4.0,5.0,
8,T2,4.0,5.0,
8,B1,4.0,5.0,
8,B2,4.0,5.0,
8,T1,7.0,5.0,
8,T2,7.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
9,T1,4.0,5.0,
10,T1,4.0,5.0,
10,T2,4.0,5.0,
13,T1,7.0,5.0,
13,T2,7.0,5.0,
13,T5,4.0,5.0,
13,T2,4.0,5.0,
15,B2,4.0,5.0,
16,T1,4.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
21,T2,3.0,5.0,
21,T3,3.0,5.0,
21,T1,5.0,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
21,T5,4.0,5.0,
21,T2,4.0,5.0,
23,T1,4.0,5.0,
23,T2,4.0,5.0,
24,T6,4.0,5.0,
32,C1,4.0,5.0,
32,C2,4.0,5.0,
56,C2,4.0,5.0,
65,T3,4.0,5.0,
65,T5,4.0,5.0,
65,S2,4.0,5.0,
66,T2,4.0,5.0,
67,T2,4.0,5.0,
99,T1,4.0,5.0,
99,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T2,1.0,5.0,
2,T3,4.0,5.0,
2,T2,2.0,5.0,
2,T2,3.0,5.0,
4,T1,3.0,5.0,
4,T1,2.0,5.0,
4,T2,2.0,5.0,
4,T1,2.0,5.0,
4,T1,3.0,5.0,
4,T1,2.0,5.0,
4,T2,2.0,5.0,
4,T2,2.0,5.0,
4,T5,2.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
5,T1,4.0,5.0,
5,T3,3.0,5.0,
5,T1,1.0,5.0,
5,T2,1.0,5.0,
6,B1,2.0,5.0,
7,T2,2.0,5.0,
7,T1,3.0,5.0,
7,T2,2.0,5.0,
7,T1,4.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T3,2.0,5.0,
8,T1,4.0,5.0,
9,T1,4.0,5.0,
9,T1,4.0,5.0,
9,T2,4.0,5.0,
9,T1,4.0,5.0,
9,T2,4.0,5.0,
9,T1,4.0,5.0,
9,T2,4.0,5.0,
12,T2,1.0,5.0,
12,T2,4.0,5.0,
13,T5,4.0,5.0,
13,T2,3.0,5.0,
13,T2,2.0,5.0,
13,T5,2.0,5.0,
13,T1,3.0,5.0,
13,T5,3.0,5.0,
13,T3,3.0,5.0,
13,T5,3.0,5.0,
13,T1,3.0,5.0,
13,T3,3.0,5.0,
13,T2,4.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
18,T1,7.0,5.0,
18,T2,7.0,5.0,
19,T1,2.0,5.0,
19,B1,2.0,5.0,
21,T1,2.0,5.0,
21,T2,2.0,5.0,
21,T2,5.0,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
56,T6,2.0,5.0,
65,T2,2.0,5.0,
67,T3,3.0,5.0,
68,B2,,5.0,
99,B1,4.0,5.0,
99,B2,4.0,5.0,
1,T5,4.0,5.0,
1,T2,4.0,5.0,
1,T2,4.0,5.0,
1,T5,7.0,5.0,
1,T2,7.0,5.0,
1,T5,7.0,5.0,
1,T5,7.0,5.0,
1,T2,7.0,5.0,
1,T1,6.0,5.0,
2,T1,3.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
8,T5,3.0,5.0,
13,T6,7.0,5.0,
17,T2,11.0,5.0,
17,T2,11.0,5.0,
18,T2,4.0,5.0,
55,S2,4.0,5.0,
99,B1,3.0,5.0,
1,T1,7.0,5.0,
1,T2,7.0,5.0,
1,T1,7.0,5.0,
1,T2,1.0,5.0,
1,T1,4.0,5.0,
1,T5,6.0,5.0,
1,T2,6.0,5.0,
1,T2,1.0,5.0,
1,T5,1.0,5.0,
2,T1,4.0,5.0,
2,T1,4.0,5.0,
3,B1,1.0,5.0,
3,T1,5.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T1,,5.0,
3,T2,,5.0,
3,T3,,5.0,
5,T2,6.0,5.0,
7,T1,,5.0,
7,T1,1.0,5.0,
7,T2,1.0,5.0,
7,T1,1.0,5.0,
7,T2,1.0,5.0,
8,T1,2.0,5.0,
8,T5,,5.0,
8,T5,7.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T5,4.0,5.0,
16,T1,5.0,5.0,
