,loc,type,provider,estimate,RIN
8010,2,T2,17.0,5.0,6.545
4956,6,T3,3.0,5.0,7.31
5764,5,A,33.0,5.0,7.48
5279,4,T1,24.0,5.0,8.5
9681,8,T1,4.0,4.0,6.29
12092,16,T1,4.0,3.0,5.5249999999999995
5575,1,T2,4.0,5.0,7.6499999999999995
4548,3,T2,3.0,5.0,8.5
8208,4,C2,4.0,4.0,6.63
5227,1,T2,18.0,5.0,8.245
9419,97,A,40.0,3.0,4.845
5219,17,T1,3.0,5.0,7.819999999999999
11557,65,B2,42.0,4.0,6.29
8079,1,T1,17.0,2.0,1.9549999999999998
9006,2,T1,24.0,5.0,7.734999999999999
6372,53,T1,6.0,5.0,7.055000000000001
8810,2,T1,41.0,2.0,3.74
12264,54,A,40.0,2.0,2.295
9052,9,A,40.0,2.0,1.785
8910,4,T1,3.0,5.0,7.734999999999999
9785,27,A,36.0,2.0,2.55
12076,2,T1,3.0,4.0,5.95
7329,9,B1,4.0,5.0,7.395
12335,66,T2,5.0,5.0,6.969999999999999
6625,98,S2,4.0,5.0,7.99
12973,66,T2,3.0,5.0,6.715
11037,11,A,36.0,3.0,5.185
9184,7,T1,3.0,4.0,6.46
5217,13,T2,1.0,5.0,8.5
10268,19,T1,4.0,5.0,8.245
12171,79,A,40.0,2.0,2.04
12539,68,B2,42.0,5.0,6.885
6659,1,T2,6.0,5.0,7.99
9097,32,S2,3.0,5.0,6.8
5847,27,A,32.0,5.0,7.905
8134,9,T1,3.0,3.0,4.505
12978,53,T2,3.0,5.0,7.48
4714,3,T2,18.0,5.0,8.33
9226,2,T2,3.0,2.0,1.87
12735,68,B2,42.0,5.0,7.6499999999999995
10838,1,T1,13.0,4.0,3.9099999999999997
9099,2,T1,24.0,5.0,7.055000000000001
12210,27,A,36.0,4.0,6.034999999999999
7181,3,T2,3.0,5.0,7.565
7643,13,T2,24.0,4.0,6.29
10904,1,T5,4.0,3.0,4.845
11387,8,S2,38.0,5.0,7.14
7240,5,T1,3.0,5.0,6.885
12428,68,B2,42.0,5.0,7.055000000000001
5684,9,A,32.0,2.0,2.72
8003,1,T2,17.0,5.0,7.395
10016,48,A,40.0,4.0,2.55
11209,1,T5,3.0,5.0,7.565
5888,3,T2,24.0,5.0,8.075
7460,2,T2,4.0,5.0,7.225
9091,2,T1,41.0,5.0,6.8
12435,18,A,33.0,4.0,6.545
7258,2,T1,24.0,4.0,6.545
12944,2,T1,24.0,5.0,6.969999999999999
7506,4,T1,4.0,5.0,7.055000000000001
