,loc,type,provider,estimate,RIN
9756,94,T1,4.0,4.0,5.25
11731,97,A,33.0,4.0,0.0
12433,84,A,33.0,4.0,1.89
11202,8,T2,4.0,5.0,6.4399999999999995
7289,2,T2,24.0,5.0,5.949999999999999
8674,2,T3,17.0,4.0,5.39
7623,8,T3,3.0,5.0,5.739999999999999
13549,90,B2,22.0,5.0,6.2299999999999995
9107,3,P1,4.0,4.0,5.46
6236,28,A,33.0,3.0,4.13
4588,4,T2,3.0,5.0,6.51
8808,1,T1,3.0,2.0,4.409999999999999
7993,4,T2,38.0,4.0,4.8999999999999995
13200,48,A,33.0,4.0,5.39
9266,2,T1,4.0,4.0,5.25
13235,68,B2,42.0,4.0,1.89
11758,67,T6,24.0,5.0,6.02
11737,80,A,33.0,4.0,1.75
4960,2,T1,24.0,5.0,6.51
8095,56,B1,4.0,5.0,5.6
12935,3,T2,24.0,5.0,6.4399999999999995
5375,54,A,33.0,5.0,6.789999999999999
12991,13,T2,4.0,5.0,5.88
8073,16,T1,3.0,3.0,3.29
4673,27,A,32.0,5.0,6.089999999999999
7437,65,B2,9.0,4.0,5.18
12689,9,T1,24.0,4.0,4.619999999999999
8438,90,B2,13.0,2.0,0.0
9487,4,T2,24.0,4.0,4.97
7185,15,T2,3.0,5.0,6.02
9868,2,T1,4.0,3.0,4.06
6048,27,A,32.0,4.0,5.109999999999999
6618,6,S2,4.0,5.0,6.58
13043,26,T2,41.0,5.0,5.88
8067,1,T1,3.0,3.0,3.9899999999999998
12982,3,T1,4.0,5.0,6.3
12549,2,T1,5.0,5.0,6.369999999999999
4656,3,T2,17.0,5.0,6.3
7678,8,T2,3.0,3.0,3.9199999999999995
8024,1,T4,6.0,4.0,5.04
7955,4,T5,2.0,5.0,6.6499999999999995
5238,55,S2,3.0,5.0,6.93
7807,18,A,36.0,5.0,5.949999999999999
6277,1,T5,4.0,5.0,6.6499999999999995
6646,65,T1,3.0,5.0,5.949999999999999
11592,3,T5,24.0,5.0,6.089999999999999
13109,2,T1,3.0,4.0,1.68
4534,1,S2,4.0,5.0,6.51
13249,4,A,40.0,4.0,4.199999999999999
10091,1,T1,6.0,0.0,1.0499999999999998
9394,5,A,40.0,2.0,2.0999999999999996
9491,26,A,40.0,3.0,4.27
11727,9,A,33.0,4.0,4.34
10553,28,A,36.0,2.0,1.47
6562,1,T5,18.0,5.0,6.6499999999999995
6399,9,A,25.0,3.0,3.9199999999999995
10415,97,A,40.0,2.0,1.68
12636,4,T1,4.0,4.0,4.55
5792,1,T5,18.0,5.0,6.789999999999999
12058,12,A,36.0,2.0,1.4
